token: var --at: [-1, -1]  type-> (2)
token: ID --at: 17  type-> (1)
token: ID --at: 18  type-> (1)
token: ID --at: 19  type-> (1)
token: > --at: [-1, -1]  type-> (3)
token: ID --at: 17  type-> (1)
token: > --at: [-1, -1]  type-> (3)
token: ID --at: 18  type-> (1)
token: > --at: [-1, -1]  type-> (3)
token: ID --at: 19  type-> (1)
token: ? --at: [-1, -1]  type-> (3)
token: ID --at: 17  type-> (1)
token: ge --at: [-1, -1]  type-> (3)
token: ID --at: 18  type-> (1)
token: ID --at: 17  type-> (1)
token: ge --at: [-1, -1]  type-> (3)
token: ID --at: 19  type-> (1)
token: => --at: [-1, -1]  type-> (3)
token: ID --at: 17  type-> (1)
token: => --at: [-1, -1]  type-> (3)
token: ID --at: 19  type-> (1)
token: : --at: [-1, -1]  type-> (3)
token: ID --at: 18  type-> (1)
token: ge --at: [-1, -1]  type-> (3)
token: ID --at: 19  type-> (1)
token: => --at: [-1, -1]  type-> (3)
token: ID --at: 18  type-> (1)
token: => --at: [-1, -1]  type-> (3)
token: ID --at: 19  type-> (1)
